Family,Subfamily,Tribe,Species name and author,tips,"broad_sociality (solitary, social, kleptoparasite, social parasite)","fine_sociality (communal, primitively eusocial, eusocial)",sociality_notes,sociality_ref,nesting_broad,nesting_fine,reference,Nest.Accuracy,habitat,reference
Andrenidae,,Andreninini,,Andrena_cordialis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_pulverea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_colletiformis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_robertsonii,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_savignyi,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_curvungula,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_paucisquama,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_pandellei,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_rufizona,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_florivaga,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_statusa,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_dorsalis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_impasta,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_moricei,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_mucida,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_ventricosa,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_brumanensis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_ochraceohirta,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_dorsata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_yamato,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_opacifovea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_susterai,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_florea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_angustitarsata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_pallidifovea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_nasonii,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_wheeleri,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_combinata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_lepida,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_biskrensis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_confinis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_congruens,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_thomsonii,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_ardentia,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_transitoria,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_venerabilis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_vetula,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_fimbriatoides,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_labialis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_flavilabris,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_decipiens,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_forsterella,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_wilhelmi,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_ungeri,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_cochlearicalcar,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_aciculata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_spolata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_curviocciput,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_israelica,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_judaea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_turmalina,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_anathema,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_longistilus,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_aeneiventris,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_verticalis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_bisulcata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_hyemala,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_impunctata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_butea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_volka,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_figurata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_nisoria,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_tebessana,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_alfkenella,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_floricola,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_minutuloides,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_paganettina,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_tkalcui,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_minutula,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_sillata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_convexifrons,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_nana,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_hikosana,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_subopaca,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_falsifica,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_kaguya,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_komachi,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_semirugosa,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_tenuistriata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_cervina,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_wollastoni,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_lunaris,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_rugothorace,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_simontornyella,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_enslinella,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_tringa,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_yelkouan,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
