family,subfamily,tribe,tips,broad_sociality,parasite_host_sociality,fine_sociality,sociality_notes,sociality_ref,broad_nesting,parasite_host_nesting,fine_nesting,nesting_notes,nesting_ref,nest_accuracy,host_bee,host_ref,wax,resin,floral_oil,nestmat_accuracy,nest_materials_ref
Andrenidae,,Andreninini,Andrena_colletiformis,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_robertsonii,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_savignyi,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_curvungula,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_paucisquama,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_pandellei,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_rufizona,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_florivaga,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_statusa,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_dorsalis,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_impasta,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_moricei,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_mucida,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_ventricosa,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_brumanensis,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_ochraceohirta,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_dorsata,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_yamato,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_opacifovea,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_susterai,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_florea,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_angustitarsata,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_pallidifovea,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_nasonii,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_wheeleri,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_combinata,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_lepida,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_biskrensis,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_confinis,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_congruens,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_thomsonii,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_ardentia,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_transitoria,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_venerabilis,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_vetula,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_fimbriatoides,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_labialis,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_flavilabris,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_decipiens,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_forsterella,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_wilhelmi,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_ungeri,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_cochlearicalcar,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_aciculata,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
