"family","subfamily","species"
"Apidae",NA,"Xenoglossodes salviae"
"Apidae","Apinae","Melissodes blandus"
"Apidae",NA,"Xenoglossodes brevifellator"
"Apidae",NA,"Xenoglossodes paenalbatus"
"Apidae",NA,"Xenoglossodes spissus"
"Apidae",NA,"Xenoglossodes flagellicornis"
"Apidae",NA,"Xenoglossodes michoacanensis"
"Apidae","Apinae","Melissodes flexus"
"Apidae","Nomadinae","Nomada scita"
"Apidae",NA,"Xenoglossodes auricauda"
"Apidae",NA,"Xenoglossodes donatus"
"Apidae",NA,"Xenoglossodes crenulaticornis"
"Apidae",NA,"Xenoglossodes fastigiatus"
"Apidae","Nomadinae","Nomada superba"
"Halictidae","Halictinae","Lasioglossum zephyrus"
"Megachilidae","Megachilinae","Coelioxys modestus"
"Andrenidae","Panurginae","Protandrena compositarum"
"Apidae",NA,"Xenoglossodes davidsoni"
"Apidae","Apinae","Melissodes minusculus"
"Apidae","Nomadinae","Biastes fulviventris"
"Apidae","Apinae","Meliplebeia roubiki"
"Apidae","Apinae","Melecta obscura"
"Apidae",NA,"Xenoglossodes cacuminis"
"Apidae",NA,"Xenoglossodes ayala"
"Apidae","Apinae","Centris laevibullata"
"Apidae","Apinae","Austroplebeia magna"
"Megachilidae","Lithurginae","Austrothurgus cognatus"
"Colletidae","Euryglossinae","Euryglossa stria"
"Apidae","Xylocopinae","Brevineura perparvula"
"Apidae","Xylocopinae","Exoneura tasmanica"
"Colletidae","Neopasiphaeinae","Leioproctus leai"
"Colletidae","Neopasiphaeinae","Leioproctus filamentosus"
"Colletidae","Neopasiphaeinae","Leioproctus fulvus"
"Colletidae","Neopasiphaeinae","Leioproctus muelleri"
"Colletidae","Neopasiphaeinae","Leioproctus plautus"
"Megachilidae","Megachilinae","Megachile variabilis_unavailable"
"Colletidae","Euryglossinae","Xanthesma flavicauda"
"Colletidae","Neopasiphaeinae","Trichocolletes aeratus"
"Colletidae","Neopasiphaeinae","Trichocolletes brachytomus"
"Colletidae","Neopasiphaeinae","Trichocolletes capillosus"
"Colletidae","Neopasiphaeinae","Trichocolletes dundasensis"
"Colletidae","Neopasiphaeinae","Trichocolletes fuscus"
"Colletidae","Neopasiphaeinae","Trichocolletes grandis"
"Colletidae","Neopasiphaeinae","Trichocolletes lacaris"
"Colletidae","Neopasiphaeinae","Trichocolletes leucogenys"
"Colletidae","Neopasiphaeinae","Trichocolletes micans"
"Colletidae","Neopasiphaeinae","Trichocolletes serotinus"
"Colletidae","Neopasiphaeinae","Trichocolletes tuberatus"
"Apidae","Nomadinae","Triepeolus lunatus"
"Apidae","Apinae","Bombus vancouverensis"
"Apidae","Apinae","Peponapis pruinosa"
"Apidae","Apinae","Xenoglossa strenua"
"Apidae","Apinae","Euglossa dilemma"
"Apidae","Nomadinae","Triepeolus concavus"
"Apidae","Apinae","Bombus johanseni"
"Apidae","Apinae","Anthophora alluaudi"
"Apidae","Apinae","Anthophorula torticornis"
"Apidae","Xylocopinae","Xylocopa strandi"
"Apidae","Apinae","Paratrigona opaca"
"Apidae","Xylocopinae","Xylocopa griswoldi"
"Apidae","Apinae","Thyreus lilacinus"
"Apidae","Apinae","Bombus cockerelli"
"Apidae","Nomadinae","Nomada suavis"
"Apidae","Apinae","Anthophora fulvodimidiata"
"Apidae","Xylocopinae","Ceratina mikmaqi"
"Apidae","Nomadinae","Nomada valida"
"Apidae","Apinae","Xenoglossa angustior"
"Apidae","Xylocopinae","Ceratina dupla"
"Apidae","Apinae","Bombus haueri"
"Apidae","Nomadinae","Nomada luteola"
"Apidae","Xylocopinae","Xylocopa coronata"
"Apidae","Apinae","Eucera atriventris"
"Apidae","Apinae","Habropoda miserabilis"
"Apidae","Apinae","Svastra compta"
"Apidae","Apinae","Eucera speciosa"
"Apidae","Xylocopinae","Ceratina arizonensis"
"Apidae","Apinae","Scaptotrigona postica"
"Apidae","Xylocopinae","Ceratina cobaltina"
"Apidae","Apinae","Tetraloniella hohmanni"
"Apidae","Xylocopinae","Ceratina floridana"
"Apidae","Apinae","Anthophora marginata"
"Apidae","Nomadinae","Nomada vegana"
"Apidae","Nomadinae","Triepeolus quadrifasciatus"
"Apidae","Apinae","Diadasia mexicana"
"Apidae","Nomadinae","Triepeolus distinctus"
"Apidae","Apinae","Svastra atripes"
"Apidae","Xylocopinae","Ceratina abdominalis"
"Apidae","Apinae","Anthophora dammersi"
"Apidae","Apinae","Svastra nitida"
"Apidae","Apinae","Centris flavohirta"
"Apidae","Apinae","Anthophora crotchii"
"Apidae","Apinae","Paratetrapedia moesta"
"Apidae","Apinae","Xenoglossa fulva"
"Apidae","Nomadinae","Triepeolus norae"
"Apidae","Apinae","Anthophorula pygmaea"
"Apidae","Nomadinae","Triepeolus texanus"
"Apidae","Xylocopinae","Ceratina eximia"
"Apidae","Apinae","Plebeia mexica"
"Apidae","Apinae","Anthophora vannigera"
"Apidae","Apinae","Anthophora rubricrus"
"Apidae","Apinae","Anthophora fedorica"
