"family","tribe","tips","sociality","nest"
"Andrenidae","Andreninini","Andrena_montana","solitary","ground"
"Andrenidae","Andreninini","Andrena_solenopalpa","solitary","ground"
"Andrenidae","Andreninini","Andrena_symphyti","solitary","ground"
"Andrenidae","Andreninini","Andrena_chrysopus","solitary","ground"
"Andrenidae","Andreninini","Andrena_fulvata","solitary","ground"
"Andrenidae","Andreninini","Andrena_angustior","solitary","ground"
"Andrenidae","Andreninini","Andrena_igraeca","solitary","ground"
"Andrenidae","Andreninini","Andrena_rufula","solitary","ground"
"Andrenidae","Andreninini","Andrena_granulosa","solitary","ground"
"Andrenidae","Andreninini","Andrena_scrophulariae","solitary","ground"
"Andrenidae","Andreninini","Andrena_merula","solitary","ground"
"Andrenidae","Andreninini","Andrena_marginata","solitary","ground"
"Andrenidae","Andreninini","Andrena_quinquepalpa","solitary","ground"
"Andrenidae","Andreninini","Andrena_fulvago","solitary","ground"
"Andrenidae","Andreninini","Andrena_hesperia","solitary","ground"
"Andrenidae","Andreninini","Andrena_henotica","solitary","ground"
"Andrenidae","Andreninini","Andrena_eremobia","solitary","ground"
"Andrenidae","Andreninini","Andrena_menahemella","solitary","ground"
"Andrenidae","Andreninini","Andrena_euzona","solitary","ground"
"Andrenidae","Andreninini","Andrena_ornithogali","solitary","ground"
"Andrenidae","Andreninini","Andrena_crocusella","solitary","ground"
"Andrenidae","Andreninini","Andrena_krausiella","solitary","ground"
"Andrenidae","Andreninini","Andrena_hyacinthina","solitary","ground"
"Andrenidae","Andreninini","Andrena_aerinifrons","solitary","ground"
"Andrenidae","Andreninini","Andrena_chrysosceles","solitary","ground"
"Andrenidae","Andreninini","Andrena_nitidiuscula","solitary","ground"
"Andrenidae","Andreninini","Andrena_fulvicornis","solitary","ground"
"Andrenidae","Andreninini","Andrena_pallitarsis","solitary","ground"
"Andrenidae","Andreninini","Andrena_falcinella","solitary","ground"
"Andrenidae","Andreninini","Andrena_nothoscordi","solitary","ground"
"Andrenidae","Andreninini","Andrena_cressonii","solitary","ground"
"Andrenidae","Andreninini","Andrena_schencki","solitary","ground"
"Andrenidae","Andreninini","Andrena_cordialis","solitary","ground"
"Andrenidae","Andreninini","Andrena_pulverea","solitary","ground"
"Andrenidae","Andreninini","Andrena_colletiformis","solitary","ground"
"Andrenidae","Andreninini","Andrena_robertsonii","solitary","ground"
"Andrenidae","Andreninini","Andrena_savignyi","solitary","ground"
"Andrenidae","Andreninini","Andrena_curvungula","solitary","ground"
"Andrenidae","Andreninini","Andrena_paucisquama","solitary","ground"
"Andrenidae","Andreninini","Andrena_pandellei","solitary","ground"
"Andrenidae","Andreninini","Andrena_rufizona","solitary","ground"
"Andrenidae","Andreninini","Andrena_florivaga","solitary","ground"
"Andrenidae","Andreninini","Andrena_statusa","solitary","ground"
"Andrenidae","Andreninini","Andrena_dorsalis","solitary","ground"
"Andrenidae","Andreninini","Andrena_impasta","solitary","ground"
"Andrenidae","Andreninini","Andrena_moricei","solitary","ground"
"Andrenidae","Andreninini","Andrena_mucida","solitary","ground"
"Andrenidae","Andreninini","Andrena_ventricosa","solitary","ground"
"Andrenidae","Andreninini","Andrena_brumanensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_ochraceohirta","solitary","ground"
"Andrenidae","Andreninini","Andrena_dorsata","solitary","ground"
"Andrenidae","Andreninini","Andrena_yamato","solitary","ground"
"Andrenidae","Andreninini","Andrena_opacifovea","solitary","ground"
"Andrenidae","Andreninini","Andrena_susterai","solitary","ground"
"Andrenidae","Andreninini","Andrena_florea","solitary","ground"
"Andrenidae","Andreninini","Andrena_angustitarsata","solitary","ground"
"Andrenidae","Andreninini","Andrena_pallidifovea","solitary","ground"
"Andrenidae","Andreninini","Andrena_nasonii","solitary","ground"
"Andrenidae","Andreninini","Andrena_wheeleri","solitary","ground"
"Andrenidae","Andreninini","Andrena_combinata","solitary","ground"
"Andrenidae","Andreninini","Andrena_lepida","solitary","ground"
"Andrenidae","Andreninini","Andrena_biskrensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_confinis","solitary","ground"
"Andrenidae","Andreninini","Andrena_congruens","solitary","ground"
"Andrenidae","Andreninini","Andrena_thomsonii","solitary","ground"
"Andrenidae","Andreninini","Andrena_ardentia","solitary","ground"
"Andrenidae","Andreninini","Andrena_transitoria","solitary","ground"
"Andrenidae","Andreninini","Andrena_venerabilis","solitary","ground"
"Andrenidae","Andreninini","Andrena_vetula","solitary","ground"
"Andrenidae","Andreninini","Andrena_fimbriatoides","solitary","ground"
"Andrenidae","Andreninini","Andrena_labialis","solitary","ground"
"Andrenidae","Andreninini","Andrena_flavilabris","solitary","ground"
"Andrenidae","Andreninini","Andrena_decipiens","solitary","ground"
"Andrenidae","Andreninini","Andrena_forsterella","solitary","ground"
"Andrenidae","Andreninini","Andrena_wilhelmi","solitary","ground"
"Andrenidae","Andreninini","Andrena_ungeri","solitary","ground"
"Andrenidae","Andreninini","Andrena_cochlearicalcar","solitary","ground"
"Andrenidae","Andreninini","Andrena_aciculata","solitary","ground"
"Andrenidae","Andreninini","Andrena_spolata","solitary","ground"
"Andrenidae","Andreninini","Andrena_curviocciput","solitary","ground"
"Andrenidae","Andreninini","Andrena_israelica","solitary","ground"
"Andrenidae","Andreninini","Andrena_judaea","solitary","ground"
"Andrenidae","Andreninini","Andrena_turmalina","solitary","ground"
"Andrenidae","Andreninini","Andrena_anathema","solitary","ground"
"Andrenidae","Andreninini","Andrena_longistilus","solitary","ground"
"Andrenidae","Andreninini","Andrena_aeneiventris","solitary","ground"
"Andrenidae","Andreninini","Andrena_verticalis","solitary","ground"
"Andrenidae","Andreninini","Andrena_bisulcata","solitary","ground"
"Andrenidae","Andreninini","Andrena_hyemala","solitary","ground"
"Andrenidae","Andreninini","Andrena_impunctata","solitary","ground"
"Andrenidae","Andreninini","Andrena_butea","solitary","ground"
"Andrenidae","Andreninini","Andrena_volka","solitary","ground"
"Andrenidae","Andreninini","Andrena_figurata","solitary","ground"
"Andrenidae","Andreninini","Andrena_nisoria","solitary","ground"
"Andrenidae","Andreninini","Andrena_tebessana","solitary","ground"
"Andrenidae","Andreninini","Andrena_alfkenella","solitary","ground"
"Andrenidae","Andreninini","Andrena_floricola","solitary","ground"
"Andrenidae","Andreninini","Andrena_minutuloides","solitary","ground"
"Andrenidae","Andreninini","Andrena_paganettina","solitary","ground"
"Andrenidae","Andreninini","Andrena_tkalcui","solitary","ground"
"Andrenidae","Andreninini","Andrena_minutula","solitary","ground"
"Andrenidae","Andreninini","Andrena_sillata","solitary","ground"
"Andrenidae","Andreninini","Andrena_convexifrons","solitary","ground"
"Andrenidae","Andreninini","Andrena_nana","solitary","ground"
"Andrenidae","Andreninini","Andrena_hikosana","solitary","ground"
"Andrenidae","Andreninini","Andrena_subopaca","solitary","ground"
"Andrenidae","Andreninini","Andrena_falsifica","solitary","ground"
"Andrenidae","Andreninini","Andrena_kaguya","solitary","ground"
"Andrenidae","Andreninini","Andrena_komachi","solitary","ground"
"Andrenidae","Andreninini","Andrena_semirugosa","solitary","ground"
"Andrenidae","Andreninini","Andrena_tenuistriata","solitary","ground"
"Andrenidae","Andreninini","Andrena_cervina","solitary","ground"
"Andrenidae","Andreninini","Andrena_wollastoni","solitary","ground"
"Andrenidae","Andreninini","Andrena_lunaris","solitary","ground"
"Andrenidae","Andreninini","Andrena_rugothorace","solitary","ground"
"Andrenidae","Andreninini","Andrena_simontornyella","solitary","ground"
"Andrenidae","Andreninini","Andrena_enslinella","solitary","ground"
"Andrenidae","Andreninini","Andrena_tringa","solitary","ground"
"Andrenidae","Andreninini","Andrena_yelkouan","solitary","ground"
"Andrenidae","Andreninini","Andrena_luscinia","solitary","ground"
"Andrenidae","Andreninini","Andrena_proxima","solitary","ground"
"Andrenidae","Andreninini","Andrena_ampla","solitary","ground"
"Andrenidae","Andreninini","Andrena_alutacea","solitary","ground"
"Andrenidae","Andreninini","Andrena_dividicincta","solitary","ground"
"Andrenidae","Andreninini","Andrena_exigua","solitary","ground"
"Andrenidae","Andreninini","Andrena_spreta","solitary","ground"
"Andrenidae","Andreninini","Andrena_semilaevis","solitary","ground"
"Andrenidae","Andreninini","Andrena_pusilla","solitary","ground"
"Andrenidae","Andreninini","Andrena_fabrella","solitary","ground"
"Andrenidae","Andreninini","Andrena_longibarbis","solitary","ground"
"Andrenidae","Andreninini","Andrena_mariana","solitary","ground"
"Andrenidae","Andreninini","Andrena_pandosa","solitary","ground"
"Andrenidae","Andreninini","Andrena_oedicnema","solitary","ground"
"Andrenidae","Andreninini","Andrena_cedricola","solitary","ground"
"Andrenidae","Andreninini","Andrena_distinguenda","solitary","ground"
"Andrenidae","Andreninini","Andrena_nitidula","solitary","ground"
"Andrenidae","Andreninini","Andrena_decollata","solitary","ground"
"Andrenidae","Andreninini","Andrena_orana","solitary","ground"
"Andrenidae","Andreninini","Andrena_melanochroa","solitary","ground"
"Andrenidae","Andreninini","Andrena_nigrae","solitary","ground"
"Andrenidae","Andreninini","Andrena_illinoiensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_ziziae","solitary","ground"
"Andrenidae","Andreninini","Andrena_personata","solitary","ground"
"Andrenidae","Andreninini","Andrena_candidiformis","solitary","ground"
"Andrenidae","Andreninini","Andrena_piperi","solitary","ground"
"Andrenidae","Andreninini","Andrena_microchlora","solitary","ground"
"Andrenidae","Andreninini","Andrena_trapezoidea","solitary","ground"
"Andrenidae","Andreninini","Andrena_iliaca","solitary","ground"
"Andrenidae","Andreninini","Andrena_stenofovea","solitary","ground"
"Andrenidae","Andreninini","Andrena_fuscicollis","solitary","ground"
"Andrenidae","Andreninini","Andrena_janthina","solitary","ground"
"Andrenidae","Andreninini","Andrena_janthinoides","solitary","ground"
"Andrenidae","Andreninini","Andrena_obtusa","solitary","ground"
"Andrenidae","Andreninini","Andrena_xera","solitary","ground"
"Andrenidae","Andreninini","Andrena_hypopolia","solitary","ground"
"Andrenidae","Andreninini","Andrena_varicornis","solitary","ground"
"Andrenidae","Andreninini","Andrena_seminuda","solitary","ground"
"Andrenidae","Andreninini","Andrena_nobilis","solitary","ground"
"Andrenidae","Andreninini","Andrena_melittoides","solitary","ground"
"Andrenidae","Andreninini","Andrena_avara","solitary","ground"
"Andrenidae","Andreninini","Andrena_rufiventris","solitary","ground"
"Andrenidae","Andreninini","Andrena_danini","solitary","ground"
"Andrenidae","Andreninini","Andrena_garrula","solitary","ground"
"Andrenidae","Andreninini","Andrena_humilis","solitary","ground"
"Andrenidae","Andreninini","Andrena_kamarti","solitary","ground"
"Andrenidae","Andreninini","Andrena_orientana","solitary","ground"
"Andrenidae","Andreninini","Andrena_taraxaci","solitary","ground"
"Andrenidae","Andreninini","Andrena_pastellensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_rhenana","solitary","ground"
"Andrenidae","Andreninini","Andrena_curtivalvis","solitary","ground"
"Andrenidae","Andreninini","Andrena_cinerea","solitary","ground"
"Andrenidae","Andreninini","Andrena_tadauchii","solitary","ground"
"Andrenidae","Andreninini","Andrena_nigroolivacea","solitary","ground"
"Andrenidae","Andreninini","Andrena_isis","solitary","ground"
"Andrenidae","Andreninini","Andrena_exquisita","solitary","ground"
"Andrenidae","Andreninini","Andrena_monilia","solitary","ground"
"Andrenidae","Andreninini","Andrena_oralis","solitary","ground"
"Andrenidae","Andreninini","Andrena_fuligula","solitary","ground"
"Andrenidae","Andreninini","Andrena_truncatilabris","solitary","ground"
"Andrenidae","Andreninini","Andrena_ferrugineicrus","solitary","ground"
"Andrenidae","Andreninini","Andrena_macula","solitary","ground"
"Andrenidae","Andreninini","Andrena_gordia","solitary","ground"
"Andrenidae","Andreninini","Andrena_protuber","solitary","ground"
"Andrenidae","Andreninini","Andrena_tscheki","solitary","ground"
"Andrenidae","Andreninini","Andrena_mucronata","solitary","ground"
"Andrenidae","Andreninini","Andrena_mizorhina","solitary","ground"
"Andrenidae","Andreninini","Andrena_dorchini","solitary","ground"
"Andrenidae","Andreninini","Andrena_limassolica","solitary","ground"
"Andrenidae","Andreninini","Andrena_rotundilabris","solitary","ground"
"Andrenidae","Andreninini","Andrena_evoluta","solitary","ground"
"Andrenidae","Andreninini","Andrena_nothocalaidis","solitary","ground"
"Andrenidae","Andreninini","Andrena_knuthi","solitary","ground"
"Andrenidae","Andreninini","Andrena_okinawana","solitary","ground"
"Andrenidae","Andreninini","Andrena_pinkeunia","solitary","ground"
"Andrenidae","Andreninini","Andrena_asluji","solitary","ground"
"Andrenidae","Andreninini","Andrena_euphorbiae","solitary","ground"
"Andrenidae","Andreninini","Andrena_cinereophila","solitary","ground"
"Andrenidae","Andreninini","Andrena_byrsicola","solitary","ground"
"Andrenidae","Andreninini","Andrena_hattorfiana","solitary","ground"
"Andrenidae","Andreninini","Andrena_kilikiae","solitary","ground"
"Andrenidae","Andreninini","Andrena_labiata","solitary","ground"
"Andrenidae","Andreninini","Andrena_mediterranea","solitary","ground"
"Andrenidae","Andreninini","Andrena_sphecodimorpha","solitary","ground"
"Andrenidae","Andreninini","Andrena_potentillae","solitary","ground"
"Andrenidae","Andreninini","Andrena_rusticola","solitary","ground"
"Andrenidae","Andreninini","Andrena_combaella","solitary","ground"
"Andrenidae","Andreninini","Andrena_speciosa","solitary","ground"
"Andrenidae","Andreninini","Andrena_schulzi","solitary","ground"
"Andrenidae","Andreninini","Andrena_isabellina","solitary","ground"
"Andrenidae","Andreninini","Andrena_glareola","solitary","ground"
"Andrenidae","Andreninini","Andrena_dauma","solitary","ground"
"Andrenidae","Andreninini","Andrena_polita","solitary","ground"
"Andrenidae","Andreninini","Andrena_unicincta","solitary","ground"
"Andrenidae","Andreninini","Andrena_viridescens","solitary","ground"
"Andrenidae","Andreninini","Andrena_galilaea","solitary","ground"
"Andrenidae","Andreninini","Andrena_semirubra","solitary","ground"
"Andrenidae","Andreninini","Andrena_veronicae","solitary","ground"
"Andrenidae","Andreninini","Andrena_sedumella","solitary","ground"
"Andrenidae","Andreninini","Andrena_anisochlora","solitary","ground"
"Andrenidae","Andreninini","Andrena_ferox","solitary","ground"
"Andrenidae","Andreninini","Andrena_bucephala","solitary","ground"
"Andrenidae","Andreninini","Andrena_nuptialis","solitary","ground"
"Andrenidae","Andreninini","Andrena_rosae","solitary","ground"
"Andrenidae","Andreninini","Andrena_trimmerana","solitary","ground"
"Andrenidae","Andreninini","Andrena_carantonica","solitary","ground"
"Andrenidae","Andreninini","Andrena_scotica","solitary","ground"
"Andrenidae","Andreninini","Andrena_nigripes","solitary","ground"
"Andrenidae","Andreninini","Andrena_nasuta","solitary","ground"
"Andrenidae","Andreninini","Andrena_intermedia","solitary","ground"
"Andrenidae","Andreninini","Andrena_gelriae","solitary","ground"
"Andrenidae","Andreninini","Andrena_wilkella","solitary","ground"
"Andrenidae","Andreninini","Andrena_russula","solitary","ground"
"Andrenidae","Andreninini","Andrena_similis","solitary","ground"
"Andrenidae","Andreninini","Andrena_ovatula","solitary","ground"
"Andrenidae","Andreninini","Andrena_lathyri","solitary","ground"
"Andrenidae","Andreninini","Andrena_aberrans","solitary","ground"
"Andrenidae","Andreninini","Andrena_veterana","solitary","ground"
"Andrenidae","Andreninini","Andrena_mucorea","solitary","ground"
"Andrenidae","Andreninini","Andrena_blanda","solitary","ground"
"Andrenidae","Andreninini","Andrena_andrenoides","solitary","ground"
"Andrenidae","Andreninini","Andrena_miserabilis","solitary","ground"
"Andrenidae","Andreninini","Andrena_barbilabris","solitary","ground"
"Andrenidae","Andreninini","Andrena_argentata","solitary","ground"
"Andrenidae","Andreninini","Andrena_ventralis","solitary","ground"
"Andrenidae","Andreninini","Andrena_sericata","solitary","ground"
"Andrenidae","Andreninini","Andrena_fragilis","solitary","ground"
"Andrenidae","Andreninini","Andrena_integra","solitary","ground"
"Andrenidae","Andreninini","Andrena_persimulata","solitary","ground"
"Andrenidae","Andreninini","Andrena_platyparia","solitary","ground"
"Andrenidae","Andreninini","Andrena_bradleyi","solitary","ground"
"Andrenidae","Andreninini","Andrena_longifovea","solitary","ground"
"Andrenidae","Andreninini","Andrena_plumiscopa","solitary","ground"
"Andrenidae","Andreninini","Andrena_nubica","solitary","ground"
"Andrenidae","Andreninini","Andrena_brevipalpis","solitary","ground"
"Andrenidae","Andreninini","Andrena_arabis","solitary","ground"
"Andrenidae","Andreninini","Andrena_scurra","solitary","ground"
"Andrenidae","Andreninini","Andrena_sladeni","solitary","ground"
"Andrenidae","Andreninini","Andrena_walleyi","solitary","ground"
"Andrenidae","Andreninini","Andrena_bisalicis","solitary","ground"
"Andrenidae","Andreninini","Andrena_lauta","solitary","ground"
"Andrenidae","Andreninini","Andrena_w-scripta","solitary","ground"
"Andrenidae","Andreninini","Andrena_candida","solitary","ground"
"Andrenidae","Andreninini","Andrena_cristata","solitary","ground"
"Andrenidae","Andreninini","Andrena_knuthiana","solitary","ground"
"Andrenidae","Andreninini","Andrena_medionitens","solitary","ground"
"Andrenidae","Andreninini","Andrena_chapmanae","solitary","ground"
"Andrenidae","Andreninini","Andrena_asteris","solitary","ground"
"Andrenidae","Andreninini","Andrena_placata","solitary","ground"
"Andrenidae","Andreninini","Andrena_gardineri","solitary","ground"
"Andrenidae","Andreninini","Andrena_rudbeckiae","solitary","ground"
"Andrenidae","Andreninini","Andrena_helianthi","solitary","ground"
"Andrenidae","Andreninini","Andrena_toluca","solitary","ground"
"Andrenidae","Andreninini","Andrena_camellia","solitary","ground"
"Andrenidae","Andreninini","Andrena_hunanensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_striata","solitary","ground"
"Andrenidae","Andreninini","Andrena_trevoris","solitary","ground"
"Andrenidae","Andreninini","Andrena_mackieae","solitary","ground"
"Andrenidae","Andreninini","Andrena_atypica","solitary","ground"
"Andrenidae","Andreninini","Andrena_bairacumensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_ispida","solitary","ground"
"Andrenidae","Andreninini","Andrena_longiceps","solitary","ground"
"Andrenidae","Andreninini","Andrena_limbata","solitary","ground"
"Andrenidae","Andreninini","Andrena_aruana","solitary","ground"
"Andrenidae","Andreninini","Andrena_corax","solitary","ground"
"Andrenidae","Andreninini","Andrena_guttata","solitary","ground"
"Andrenidae","Andreninini","Andrena_agilissima","solitary","ground"
"Andrenidae","Andreninini","Andrena_argemonis","solitary","ground"
"Andrenidae","Andreninini","Andrena_crataegi","solitary","ground"
"Andrenidae","Andreninini","Andrena_prunorum","solitary","ground"
"Andrenidae","Andreninini","Andrena_tibialis","solitary","ground"
"Andrenidae","Andreninini","Andrena_bimaculata","solitary","ground"
"Andrenidae","Andreninini","Andrena_pilipes","solitary","ground"
"Andrenidae","Andreninini","Andrena_suerinensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_hispania","solitary","ground"
"Andrenidae","Andreninini","Andrena_aegypticola","solitary","ground"
"Andrenidae","Andreninini","Andrena_fuscosa","solitary","ground"
"Andrenidae","Andreninini","Andrena_scita","solitary","ground"
"Andrenidae","Andreninini","Andrena_albifacies","solitary","ground"
"Andrenidae","Andreninini","Andrena_caliginosa","solitary","ground"
"Andrenidae","Andreninini","Andrena_omogensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_saettana","solitary","ground"
"Andrenidae","Andreninini","Andrena_troodica","solitary","ground"
"Andrenidae","Andreninini","Andrena_caroli","solitary","ground"
"Andrenidae","Andreninini","Andrena_wolfi","solitary","ground"
"Andrenidae","Andreninini","Andrena_alleghaniensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_prima","solitary","ground"
"Andrenidae","Andreninini","Andrena_anograe","solitary","ground"
"Andrenidae","Andreninini","Andrena_oenotherae","solitary","ground"
"Andrenidae","Andreninini","Andrena_vanduzeei","solitary","ground"
"Andrenidae","Andreninini","Andrena_linsleyi","solitary","ground"
"Andrenidae","Andreninini","Andrena_fenningeri","solitary","ground"
"Andrenidae","Andreninini","Andrena_imitatrix","solitary","ground"
"Andrenidae","Andreninini","Andrena_mendica","solitary","ground"
"Andrenidae","Andreninini","Andrena_kalmiae","solitary","ground"
"Andrenidae","Andreninini","Andrena_ilicis","solitary","ground"
"Andrenidae","Andreninini","Andrena_cuneilabris","solitary","ground"
"Andrenidae","Andreninini","Andrena_olivacea","solitary","ground"
"Andrenidae","Andreninini","Andrena_puthua","solitary","ground"
"Andrenidae","Andreninini","Andrena_linsleyana","solitary","ground"
"Andrenidae","Andreninini","Andrena_forbesii","solitary","ground"
"Andrenidae","Andreninini","Andrena_hippotes","solitary","ground"
"Andrenidae","Andreninini","Andrena_striatifrons","solitary","ground"
"Andrenidae","Andreninini","Andrena_nuda","solitary","ground"
"Andrenidae","Andreninini","Andrena_ceanothi","solitary","ground"
"Andrenidae","Andreninini","Andrena_miranda","solitary","ground"
"Andrenidae","Andreninini","Andrena_salicifloris","solitary","ground"
"Andrenidae","Andreninini","Andrena_sigmundi","solitary","ground"
"Andrenidae","Andreninini","Andrena_rugosa","solitary","ground"
"Andrenidae","Andreninini","Andrena_cupreotincta","solitary","ground"
"Andrenidae","Andreninini","Andrena_cleodora","solitary","ground"
"Andrenidae","Andreninini","Andrena_cyanophila","solitary","ground"
"Andrenidae","Andreninini","Andrena_spiraeana","solitary","ground"
"Andrenidae","Andreninini","Andrena_foveopunctata","solitary","ground"
"Andrenidae","Andreninini","Andrena_haemorrhoa","solitary","ground"
"Andrenidae","Andreninini","Andrena_lagopus","solitary","ground"
"Andrenidae","Andreninini","Andrena_cerasifolii","solitary","ground"
"Andrenidae","Andreninini","Andrena_arsinoe","solitary","ground"
"Andrenidae","Andreninini","Andrena_angustella","solitary","ground"
"Andrenidae","Andreninini","Andrena_banksi","solitary","ground"
"Andrenidae","Andreninini","Andrena_dimorpha","solitary","ground"
"Andrenidae","Andreninini","Andrena_erythronii","solitary","ground"
"Andrenidae","Andreninini","Andrena_mandibularis","solitary","ground"
"Andrenidae","Andreninini","Andrena_thaspii","solitary","ground"
"Andrenidae","Andreninini","Andrena_prolixa","solitary","ground"
"Andrenidae","Andreninini","Andrena_macoupinensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_topazana","solitary","ground"
"Andrenidae","Andreninini","Andrena_praecox","solitary","ground"
"Andrenidae","Andreninini","Andrena_frigida","solitary","ground"
"Andrenidae","Andreninini","Andrena_perarmata","solitary","ground"
"Andrenidae","Andreninini","Andrena_milwaukeensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_rufosignata","solitary","ground"
"Andrenidae","Andreninini","Andrena_carolina","solitary","ground"
"Andrenidae","Andreninini","Andrena_schuhi","solitary","ground"
"Andrenidae","Andreninini","Andrena_hemileuca","solitary","ground"
"Andrenidae","Andreninini","Andrena_benefica","solitary","ground"
"Andrenidae","Andreninini","Andrena_fulva","solitary","ground"
"Andrenidae","Andreninini","Andrena_synadelpha","solitary","ground"
"Andrenidae","Andreninini","Andrena_helvola","solitary","ground"
"Andrenidae","Andreninini","Andrena_clarkella","solitary","ground"
"Andrenidae","Andreninini","Andrena_rogenhoferi","solitary","ground"
"Andrenidae","Andreninini","Andrena_lapponica","solitary","ground"
"Andrenidae","Andreninini","Andrena_fucata","solitary","ground"
"Andrenidae","Andreninini","Andrena_nycthemera","solitary","ground"
"Andrenidae","Andreninini","Andrena_apicata","solitary","ground"
"Andrenidae","Andreninini","Andrena_mitis","solitary","ground"
"Andrenidae","Andreninini","Andrena_fuscipes","solitary","ground"
"Andrenidae","Andreninini","Andrena_nigriceps","solitary","ground"
"Andrenidae","Andreninini","Andrena_hirticincta","solitary","ground"
"Andrenidae","Andreninini","Andrena_colletina","solitary","ground"
"Andrenidae","Andreninini","Andrena_peckhami","solitary","ground"
"Andrenidae","Andreninini","Andrena_columbiana","solitary","ground"
"Andrenidae","Andreninini","Andrena_surda","solitary","ground"
"Andrenidae","Andreninini","Andrena_nubecula","solitary","ground"
"Andrenidae","Andreninini","Andrena_canadensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_costillensis","solitary","ground"
"Andrenidae","Andreninini","Andrena_denticulata","solitary","ground"
