"species","n_bio_3","mean_bio_3","sd_bio_3","se_bio_3","within_sp_var_bio_3"
"Svastra_texana","44","34.795455","4.633445","0.698518","0.925101"
"Centris_caesalpiniae","61","37.803279","4.257619","0.545132","0.667286"
"Ceratina_dupla","190","23.521053","4.452819","0.323041","0.214234"
"Triepeolus_donatus","65","24.030769","4.141894","0.513739","0.626222"
"Melissodes_rivalis","133","30.992481","5.027947","0.435978","0.306048"
"Bombus_hyperboreus","70","14.857143","3.90943","0.467266","0.581492"
"Nomada_cressonii","112","23.767857","4.567772","0.431614","0.363432"
"Melissodes_dentiventris","93","26.741935","4.117574","0.426973","0.437682"
"Bombus_kluanensis","3","17.666667","1.154701","0.666667","13.568143"
"Epeolus_mesillae","40","35.2","3.837734","0.606799","1.017611"
"Epeolus_pusillus","83","26.192771","6.13359","0.673249","0.490415"
"Zacosmia_maculata","46","36.652174","5.082508","0.749375","0.884879"
"Melissodes_persimilis","21","49.380952","8.120814","1.772107","1.938306"
"Euglossa_imperialis","98","59.071429","7.198582","0.727167","0.415351"
"Bombus_brachycephalus","31","53.677419","5.029162","0.903264","1.313046"
"Epeolus_bifasciatus","118","26.177966","6.488163","0.597284","0.344953"
"Euglossa_viridissima","73","50.068493","7.760886","0.908343","0.557595"
"Coelioxoides_punctipennis","10","53.8","5.245104","1.658648","4.070443"
"Triepeolus_grandis","31","41.258065","7.108529","1.276729","1.313046"
"Nomada_lehighensis","34","23.147059","3.619244","0.620695","1.197189"
"Bombus_natvigi","22","14.045455","2.553751","0.544462","1.850201"
"Xylocopa_mordax","26","41.576923","13.819329","2.710193","1.565555"
"Ceratina_arizonensis","55","37.327273","6.429258","0.866921","0.740081"
"Melissodes_trinodis","138","23.666667","5.345485","0.455038","0.29496"
"Diadasia_ochracea","136","38.338235","5.749358","0.493003","0.299297"
"Ceratina_floridana","43","28.302326","6.341604","0.967086","0.946615"
"Anthophora_curta","158","37.993671","5.022874","0.399598","0.257623"
"Florilegus_condignus","118","35.101695","12.312449","1.133453","0.344953"
"Nomada_bifasciata","94","27.223404","5.719527","0.589924","0.433026"
"Centris_scopipes","14","54.928571","1.859044","0.49685","2.907459"
"Anthophora_exigua","69","31.884058","4.181669","0.503414","0.589919"
"Ericrocis_lata","94","37.234043","5.727552","0.590752","0.433026"
"Anthophora_ursina","137","31.189781","5.182738","0.442791","0.297113"
"Epeolus_minimus","84","29.02381","6.980137","0.761595","0.484577"
"Melipona_quadrifasciata","43","49.906977","6.144351","0.937005","0.946615"
"Triepeolus_verbesinae","35","38.4","5.018788","0.84833","1.162984"
"Melissodes_vernoniae","49","28.591837","5.901689","0.843098","0.830703"
"Anthophora_vallorum","26","37.423077","4.355898","0.854262","1.565555"
"Anthophora_cockerelli","14","36.142857","4.704452","1.257318","2.907459"
"Triepeolus_simplex","40","26.9","5.6921","0.9","1.017611"
"Anthophora_centriformis","44","37.022727","4.52635","0.682373","0.925101"
"Habropoda_pallida","32","35.21875","3.424149","0.60531","1.272013"
"Anthophora_hololeuca","32","36.90625","4.761129","0.841657","1.272013"
"Eucera_rosae","40","25.975","2.832843","0.447912","1.017611"
"Triepeolus_subalpinus","19","33.105263","6.190447","1.420186","2.142338"
"Centris_mocsaryi","23","50.782609","6.360078","1.326168","1.769758"
"Diadasia_rinconis","186","37.311828","6.404354","0.46959","0.218841"
"Habropoda_tristissima","33","39.69697","4.914804","0.855558","1.233468"
"Diadasia_tuberculifrons","11","36.727273","2.723634","0.821207","3.700403"
"Trigona_truculenta","99","59.505051","5.792983","0.582217","0.411156"
"Lestrimelitta_niitkib","28","52.75","3.698098","0.698875","1.45373"
"Epeolus_americanus","47","28.957447","8.520965","1.24291","0.866052"
"Trigona_guianae","97","60.082474","6.52187","0.662196","0.419633"
"Melipona_subnitida","12","64.333333","5.565042","1.606489","3.392036"
"Eucera_lepida","18","32.166667","3.312188","0.78069","2.261357"
"Triepeolus_melanarius","7","42.714286","3.251373","1.228903","5.814918"
"Anthophora_albata","56","32.017857","3.896344","0.520671","0.726865"
"Melissodes_stearnsi","30","40.133333","4.980883","0.909381","1.356814"
"Partamona_orizabaensis","64","53.265625","5.877701","0.734713","0.636007"
"Anthophora_petrophila","91","33.791209","4.527733","0.474635","0.447301"
"Centris_zacateca","28","46.571429","6.652366","1.257179","1.45373"
"Lestrimelitta_danuncia","8","57.5","5.732115","2.026609","5.088053"
"Centris_mexicana","41","46.268293","6.152334","0.960833","0.992791"
"Martinapis_luteicornis","34","36.441176","3.173672","0.54428","1.197189"
"Centris_hoffmanseggiae","35","37.085714","3.890951","0.657691","1.162984"
"Habropoda_cineraria","90","32.955556","5.916861","0.623692","0.452271"
"Anthophora_abroniae","21","36.952381","3.748015","0.817884","1.938306"
"Epicharis_elegans","42","53.214286","4.821374","0.743954","0.969153"
"Melissodes_tristis","189","36.492063","6.261686","0.455471","0.215367"
"Centris_lanosa","44","33.568182","4.347668","0.655436","0.925101"
"Melissodes_montanus","68","41.661765","8.451107","1.024847","0.598595"
"Melissodes_gilensis","48","41.8125","7.999086","1.154569","0.848009"
"Svastra_cressonii","31","31.129032","3.947505","0.708993","1.313046"
"Paratetrapedia_calcarata","43","55.27907","6.905228","1.053037","0.946615"
"Triepeolus_penicilliferus","24","34.583333","3.574264","0.729594","1.696018"
"Melissodes_trifasciatus","5","25.8","1.30384","0.583095","8.140886"
"Centris_tricolor","30","40","3.85066","0.703031","1.356814"
"Eucera_edwardsii","77","33.12987","5.629693","0.641563","0.528629"
"Xylocopa_pulchra","1","45",NA,NA,"40.704428"
"Centris_pallida","51","38.254902","5.1724","0.724281","0.798126"
"Trigona_corvina","78","56.435897","8.239263","0.932913","0.521852"
"Anthophora_maculifrons","54","32.574074","3.658033","0.497795","0.753786"
"Ceratina_cockerelli","44","31.772727","5.822425","0.877764","0.925101"
"Anthophora_flavocincta","25","42.32","3.716181","0.743236","1.628177"
"Anthophora_porterae","90","31.866667","4.064646","0.428451","0.452271"
"Diadasia_sphaeralcearum","38","37.552632","4.058341","0.65835","1.071169"
"Melissodes_confusus","87","36.816092","11.502809","1.233231","0.467867"
"Scaptotrigona_hellwegeri","39","53.25641","5.314914","0.851067","1.043703"
"Centris_atripes","99","40.676768","7.553656","0.759171","0.411156"
"Melissodes_coreopsis","154","30.636364","4.966316","0.400197","0.264314"
"Partamona_bilineata","84","51.738095","5.250632","0.572891","0.484577"
"Plebeia_pulchra","29","50.482759","4.939785","0.917295","1.403601"
"Melissodes_tepidus","65","36.153846","5.679543","0.704461","0.626222"
"Melissodes_robustior","32","38.78125","7.047005","1.245746","1.272013"
"Ancyloscelis_apiformis","78","50","9.44705","1.069668","0.521852"
"Melissodes_bimatris","72","33.027778","5.208261","0.613799","0.565339"
"Melissodes_moorei","6","42.666667","4.633213","1.891501","6.784071"
"Anthophorula_nitens","9","43","2.95804","0.986013","4.522714"
"Melissodes_limbus","51","40.333333","7.758007","1.086338","0.798126"
"Centris_transversa","28","52.142857","4.616511","0.872439","1.45373"
"Anthophora_walshii","75","27.173333","4.900009","0.565804","0.542726"
"Melissodes_grindeliae","46","33.173913","5.873876","0.866056","0.884879"
"Melissodes_subagilis","107","30.869159","5.163522","0.499177","0.380415"
"Anthophorula_albicans","15","40.8","3.895052","1.005698","2.713629"
"Anthophora_phenax","27","36.888889","2.309401","0.444444","1.507571"
"Diadasia_nigrifrons","40","36.025","5.681673","0.898351","1.017611"
"Exomalopsis_solani","101","38.811881","5.640413","0.561242","0.403014"
"Melissodes_intortus","12","30.666667","2.902455","0.837867","3.392036"
"Melissodes_comptoides","148","28.986486","4.782318","0.393104","0.27503"
"Melissodes_thelypodii","79","41.886076","8.495832","0.955856","0.515246"
"Melipona_colimana","2","53.5","0.707107","0.5","20.352214"
"Diadasia_lutzi","85","35.752941","6.057081","0.656983","0.478876"
"Diadasia_afflicta","45","31.4","4.397313","0.655513","0.904543"
"Diadasia_consociata","19","38.526316","6.336564","1.453707","2.142338"
"Anthophorula_consobrina","13","44.384615","7.240378","2.00812","3.13111"
"Plebeia_frontalis","71","52","6.378535","0.756993","0.573302"
"Plebeia_moureana","15","53.2","3.405877","0.879394","2.713629"
"Diadasia_tropicalis","25","49.84","10.884546","2.176909","1.628177"
"Centris_varia","128","53.796875","8.146647","0.720069","0.318003"
"Anthophora_timberlakei","14","37.428571","3.523859","0.941791","2.907459"
"Ceratina_acantha","93","35.462366","5.78709","0.600093","0.437682"
"Melissodes_pallidisignatus","100","32.48","5.594875","0.559488","0.407044"
"Anthophora_squammulosa","54","47.833333","8.873854","1.207579","0.753786"
"Melissodes_wheeleri","54","28.296296","5.430972","0.739062","0.753786"
"Svastra_sabinensis","64","38.09375","4.249066","0.531133","0.636007"
"Melissodes_boltoniae","35","26.714286","3.92257","0.663035","1.162984"
"Exomalopsis_analis","80","52.2875","8.509405","0.95138","0.508805"
"Svastra_duplocincta","30","39.266667","3.58092","0.653784","1.356814"
"Anthophorula_texana","15","30.2","3.447566","0.890158","2.713629"
"Exomalopsis_similis","56","47.75","9.135843","1.220828","0.726865"
"Melissodes_verbesinarum","74","36.5","4.500381","0.523159","0.55006"
"Melitoma_taurea","108","26.796296","3.468845","0.33379","0.376893"
"Anthophorula_compactula","75","36.4","3.475785","0.401349","0.542726"
"Centris_agameta","11","52.090909","4.392142","1.324281","3.700403"
"Melissodes_humilior","17","36.823529","4.489367","1.088831","2.394378"
"Holcopasites_calliopsidis","147","25.578231","5.718182","0.471628","0.276901"
"Melissodes_micheneri","4","38.5","3.316625","1.658313","10.176107"
"Melissodes_menuachus","88","31.693182","7.120245","0.759021","0.46255"
"Anthophora_columbariae","14","39.428571","4.449966","1.189303","2.907459"
"Exomalopsis_snowi","26","45.615385","10.722227","2.102802","1.565555"
"Diadasia_knabiana","2","56","2.828427","2","20.352214"
"Melipona_grandis","54","59.796296","5.529951","0.752531","0.753786"
"Melitoma_marginella","46","47.913043","7.461981","1.100209","0.884879"
"Euglossa_townsendi","44","57.386364","8.207246","1.237289","0.925101"
"Xylocopa_gualanensis","37","54.513514","3.834215","0.630341","1.10012"
"Melissodes_utahensis","36","30.555556","2.260777","0.376796","1.130679"
"Epicharis_analis","14","50.642857","7.196229","1.923273","2.907459"
"Eucera_interrupta","36","27.25","3.434073","0.572346","1.130679"
"Anthophora_estebana","20","35.3","3.310271","0.740199","2.035221"
"Melissodes_glenwoodensis","60","30.383333","3.764651","0.486014","0.678407"
"Svastra_machaerantherae","47","37.638298","4.96258","0.723867","0.866052"
