"species","n_LAI","mean_LAI","sd_LAI","se_LAI","within_sp_var_LAI"
"Trichocolletes_albigenae","5","36.4","34.121841","15.259751","1833.578633"
"Trichocolletes_avialis","1","14",NA,NA,"9167.893166"
"Trichocolletes_centralis","3","14","7","4.041452","3055.964389"
"Trichocolletes_nitens","2","7","0","0","4583.946583"
"Trichocolletes_orientalis","22","100.454545","84.160124","17.942999","416.722417"
"Bombus_crotchii","44","68.068182","97.316649","14.671037","208.361208"
"Bombus_morrisoni","172","38.767442","81.408388","6.207331","53.301704"
"Melissodes_microstictus","464","64.137931","95.688831","4.442242","19.75839"
"Bombus_bifarius","252","42.373016","79.32185","4.996807","36.380528"
"Bombus_fervidus","444","67.997748","102.830231","4.880107","20.648408"
"Bombus_appositus","175","35.068571","70.963451","5.364333","52.387961"
"Bombus_vosnesenskii","189","69.386243","100.704561","7.325179","48.507371"
"Bombus_ephippiatus","100","84.88","69.842287","6.984229","91.678932"
"Anthophora_urbana","200","51.15","91.562799","6.474468","45.839466"
"Bombus_mexicanus","27","98.518519","61.882252","11.909245","339.551599"
"Bombus_terricola","398","92.015075","114.062689","5.717446","23.034907"
"Bombus_sonorus","199","55.623116","91.697591","6.50027","46.069815"
"Bombus_steindachneri","51","56.039216","59.416483","8.319972","179.762611"
"Bombus_mixtus","312","60.464744","96.004951","5.43521","29.384273"
"Bombus_huntii","275","47.4","83.774768","5.051809","33.337793"
"Bombus_melanopygus","333","76.612613","104.54703","5.729142","27.531211"
"Bombus_caliginosus","63","95.396825","103.943306","13.095626","145.522114"
"Bombus_centralis","207","39.275362","78.92227","5.485477","44.289339"
"Bombus_griseocollis","532","73.755639","104.375682","4.52526","17.232882"
"Bombus_diligens","42","77.47619","64.303108","9.922185","218.283171"
"Bombus_auricomus","215","73.646512","106.773389","7.281885","42.641364"
"Trigona_nigerrima","57","138.929825","63.245231","8.377035","160.840231"
"Melissodes_agilis","229","61.528384","101.392088","6.700178","40.034468"
"Nomada_denticulata","68","82.25","108.530672","13.161277","134.821958"
"Nomada_articulata","129","91.612403","114.20878","10.055522","71.068939"
"Epeolus_autumnalis","37","109.432432","121.958905","20.04992","247.780896"
"Ceratina_calcarata","210","71.890476","104.48549","7.210184","43.656634"
"Nomada_fabriciana","189","92.555556","93.370763","6.791724","48.507371"
"Nomada_ferruginata","104","78.211538","91.508679","8.973164","88.152819"
"Bombus_ternarius","337","80.106825","109.977381","5.99085","27.204431"
"Bombus_bimaculatus","401","77.800499","105.117197","5.249302","22.862576"
"Scaptotrigona_mexicana","46","111.456522","73.614825","10.853914","199.302025"
"Xylocopa_tabaniformis","194","69.706186","91.136072","6.543189","47.257181"
"Xylocopa_micans","153","91.424837","102.685884","8.301662","59.92087"
"Bombus_pauloensis","158","124.620253","79.358945","6.313459","58.02464"
"Xylocopa_sonorina","145","95.524138","112.440298","9.337659","63.226849"
"Bombus_insularis","323","63.464396","98.19094","5.46349","28.38357"
"Bombus_nevadensis","267","49.977528","90.619046","5.545796","34.336679"
"Trigona_fulviventris","193","123.207254","75.328161","5.42224","47.502037"
"Bombus_cryptarum","394","90.393401","111.016974","5.592954","23.268764"
"Xylocopa_flavorufa","101","100.227723","82.160438","8.175269","90.771219"
"Bombus_pensylvanicus","601","61.823627","94.956458","3.873355","15.254398"
"Bombus_vagans","376","78.098404","109.011331","5.62183","24.382695"
"Bombus_citrinus","204","85.328431","112.591266","7.882965","44.940653"
"Ptilothrix_bombiformis","168","77.803571","104.857032","8.089896","54.570793"
"Bombus_affinis","175","88.548571","113.253894","8.56119","52.387961"
"Scaptotrigona_pectoralis","70","118.014286","66.772053","7.980787","130.969902"
"Xylocopa_fimbriata","110","119.309091","92.38767","8.808819","83.344483"
"Nannotrigona_perilampoides","121","125.867769","83.529131","7.593557","75.767712"
"Melissodes_desponsus","175","66.16","101.752221","7.691745","52.387961"
"Centris_rhodopus","78","69.538462","109.644134","12.414753","117.537092"
"Anthophora_terminalis","273","66.234432","103.847261","6.285122","33.582026"
"Bombus_flavidus","482","59.487552","97.113544","4.423401","19.020525"
"Eulaema_polychroma","147","110.156463","81.015701","6.682062","62.36662"
"Nomada_fervida","30","104.566667","109.00512","19.901521","305.596439"
"Melissoptila_otomita","29","88.103448","76.721828","14.246886","316.134247"
"Habropoda_laboriosa","161","83.192547","101.531308","8.001788","56.943436"
"Anthophora_edwardsii","51","93.647059","115.593568","16.186337","179.762611"
"Bombus_ashtoni","180","103.966667","119.609135","8.915139","50.93274"
"Svastra_obliqua","298","59.006711","96.888356","5.612592","30.764742"
"Brachymelecta_californica","182","38.901099","79.086295","5.862266","50.373039"
"Habropoda_depressa","37","100.189189","109.696257","18.033954","247.780896"
"Anthophora_californica","226","54.619469","89.29037","5.939507","40.565899"
"Diadasia_bituberculata","38","76.526316","101.575092","16.477656","241.260346"
"Bombus_borealis","266","96.43609","117.695312","7.216363","34.465764"
"Bombus_frigidus","248","81.967742","112.33102","7.133027","36.967311"
"Diadasia_enavata","162","47.203704","89.4262","7.025986","56.591933"
"Anthophora_montana","95","23.094737","60.711223","6.22884","96.504139"
"Anthophora_occidentalis","72","53.75","95.351204","11.237247","127.33185"
"Xylocopa_californica","193","44.57513","84.312142","6.068921","47.502037"
"Melissodes_communis","229","65.777293","97.313782","6.430676","40.034468"
"Bombus_suckleyi","156","50.942308","86.038719","6.888611","58.768546"
"Anthophora_abrupta","168","62.345238","91.017863","7.022181","54.570793"
"Bombus_occidentalis","341","61.392962","96.938388","5.249508","26.885317"
"Anthophora_pacifica","80","58.6","92.948958","10.392009","114.598665"
"Cephalotrigona_zexmeniae","62","131.83871","72.796864","9.245211","147.869245"
"Xylocopa_flavicollis","61","111.754098","89.809735","11.498958","150.293331"
"Melipona_beecheii","87","127.172414","73.66584","7.897807","105.378082"
"Epeolus_scutellaris","106","115.764151","120.30624","11.685175","86.489558"
"Centris_nitida","100","99.35","87.478756","8.747876","91.678932"
"Frieseomelitta_nigra","53","117.849057","78.328548","10.759254","172.979116"
"Bombus_cingulatus","118","65.559322","108.609749","9.998338","77.69401"
"Bombus_pyrosoma","17","6.764706","3.631966","0.880881","539.287833"
"Epeolus_compactus","86","59.883721","93.64921","10.098454","106.603409"
"Melissodes_tepaneca","177","68.610169","87.324568","6.563716","51.796007"
"Eucera_frater","58","84.362069","106.947552","14.042902","158.067124"
"Nomada_gracilis","39","76.692308","106.404925","17.038424","235.074184"
"Diadasia_diminuta","220","32.018182","73.049615","4.925004","41.672242"
"Exaerete_frontalis","70","136.585714","63.815516","7.627413","130.969902"
"Melissodes_paroselae","58","43.672414","85.622465","11.24278","158.067124"
"Nomada_texana","142","41.06338","80.719303","6.773813","64.562628"
"Triepeolus_remigatus","114","53.991228","93.415666","8.749179","80.420115"
"Bombus_sylvicola","252","68.035714","105.065919","6.618531","36.380528"
"Bombus_balteatus","154","107.220779","121.961434","9.827932","59.531774"
"Bombus_vandykei","67","55.432836","81.646545","9.974713","136.834226"
"Bombus_jonellus","587","93.810903","111.415451","4.598608","15.618217"
"Bombus_sandersoni","151","83.993377","111.963476","9.111458","60.714524"
"Nomada_ruficornis","289","73.958478","94.146191","5.538011","31.722814"
"Bombus_pascuorum","993","75.312185","100.626642","3.19329","9.232521"
"Ceratina_mikmaqi","79","62.012658","98.086892","11.035638","116.049281"
"Anthophora_furcata","312","96.423077","109.047737","6.173612","29.384273"
"Nomada_panzeri","369","74.330623","100.728321","5.243707","24.845239"
"Nomada_perplexa","38","88.394737","114.807839","18.624291","241.260346"
"Epeoloides_pilosulus","22","134.363636","123.633693","26.358792","416.722417"
"Nomada_vicina","41","95.560976","116.359797","18.172347","223.60715"
"Nomada_depressa","49","72.938776","104.922076","14.988868","187.099861"
"Nomada_subrutila","6","132.666667","134.069634","54.733699","1527.982194"
"Diadasia_australis","123","37.219512","79.072029","7.129685","74.535717"
"Epeolus_olympiellus","18","114.555556","117.901865","27.789736","509.327398"
"Nomada_cuneata","52","70.403846","102.2531","14.179954","176.305638"
"Nomada_sayi","52","78.307692","108.676988","15.070787","176.305638"
"Nomada_hydrophylli","7","113.142857","132.745908","50.173237","1309.699024"
"Exaerete_smaragdina","127","133.551181","73.85289","6.553384","72.188135"
"Nomada_maculata","95","78.726316","108.958751","11.178932","96.504139"
"Eucera_hamata","86","50.313953","91.067688","9.820081","106.603409"
"Anthophora_bomboides","207","54.63285","93.248184","6.481197","44.289339"
"Melissodes_denticulatus","120","76.741667","108.176443","9.875113","76.39911"
"Ceratina_strenua","157","62.917197","97.850813","7.809345","58.394224"
"Svastra_texana","44","31.227273","71.882289","10.836663","208.361208"
"Centris_caesalpiniae","61","20.967213","56.330266","7.212352","150.293331"
"Ceratina_dupla","172","84.284884","110.056526","8.391731","53.301704"
"Triepeolus_donatus","52","89.961538","116.298629","16.127718","176.305638"
"Melissodes_rivalis","86","58.430233","95.188425","10.264432","106.603409"
"Bombus_hyperboreus","72","157.75","122.776879","14.469394","127.33185"
"Nomada_cressonii","97","72.917526","105.201064","10.68155","94.514363"
"Melissodes_dentiventris","89","80.337079","104.366917","11.062871","103.010036"
"Bombus_kluanensis","2","3","0","0","4583.946583"
"Epeolus_mesillae","38","45.157895","92.176835","14.953057","241.260346"
"Epeolus_pusillus","76","80.473684","108.900379","12.49173","120.630173"
"Zacosmia_maculata","44","68.795455","108.859538","16.411193","208.361208"
"Melissodes_persimilis","21","57.52381","65.307441","14.251252","436.566341"
"Euglossa_imperialis","98","135.183673","58.864574","5.94622","93.54993"
"Bombus_brachycephalus","31","105.645161","77.118761","13.850938","295.738489"
"Epeolus_bifasciatus","92","65.76087","99.12844","10.334854","99.651013"
"Euglossa_viridissima","73","109.232877","77.362157","9.054556","125.587578"
"Coelioxoides_punctipennis","10","92.4","61.070451","19.312172","916.789317"
"Triepeolus_grandis","31","32.935484","74.207338","13.328031","295.738489"
"Nomada_lehighensis","34","44.088235","78.321934","13.432101","269.643917"
"Bombus_natvigi","20","117","128.075636","28.638583","458.394658"
"Xylocopa_mordax","28","172.607143","87.226542","16.484267","327.424756"
"Ceratina_arizonensis","55","72.109091","102.573311","13.830982","166.688967"
"Melissodes_trinodis","104","98.586538","117.04564","11.477269","88.152819"
"Diadasia_ochracea","134","42.253731","82.911193","7.162436","68.417113"
"Ceratina_floridana","42","139.595238","117.207354","18.085487","218.283171"
"Anthophora_curta","155","45.232258","86.233662","6.926454","59.147698"
"Florilegus_condignus","109","87.807339","100.130145","9.590728","84.109112"
"Nomada_bifasciata","94","73.93617","83.713388","8.634377","97.530778"
"Centris_scopipes","14","101.571429","66.940518","17.890606","654.849512"
"Anthophora_exigua","40","56.875","100.529416","15.895096","229.197329"
"Ericrocis_lata","93","50.526882","93.845802","9.731356","98.579496"
"Anthophora_ursina","108","45.814815","85.381841","8.215871","84.8879"
"Epeolus_minimus","47","93.12766","117.937643","17.202973","195.061557"
"Melipona_quadrifasciata","43","140.395349","75.283319","11.480599","213.206818"
"Triepeolus_verbesinae","35","50.714286","94.383003","15.953639","261.939805"
"Melissodes_vernoniae","40","45.925","89.07916","14.084652","229.197329"
"Anthophora_vallorum","26","62.884615","107.363058","21.055628","352.611276"
"Anthophora_cockerelli","14","41.642857","90.516983","24.191681","654.849512"
"Triepeolus_simplex","35","67.428571","103.837907","17.55181","261.939805"
"Anthophora_centriformis","43","61.302326","101.189246","15.431215","213.206818"
"Habropoda_pallida","32","84.1875","117.062001","20.693834","286.496661"
"Anthophora_hololeuca","30","114.933333","124.779235","22.781467","305.596439"
"Eucera_rosae","40","45.35","80.83746","12.781525","229.197329"
"Triepeolus_subalpinus","15","76.8","111.416336","28.767574","611.192878"
"Centris_mocsaryi","23","140.478261","78.724416","16.415175","398.604051"
"Diadasia_rinconis","182","42.115385","83.587007","6.195881","50.373039"
"Habropoda_tristissima","31","81.709677","104.684667","18.801921","295.738489"
"Diadasia_tuberculifrons","11","119.181818","130.059077","39.214287","833.444833"
"Trigona_truculenta","99","116.30303","65.200547","6.552902","92.604981"
"Lestrimelitta_niitkib","28","131","64.010416","12.096832","327.424756"
"Epeolus_americanus","39","53.871795","95.571461","15.303682","235.074184"
"Trigona_guianae","98","120.765306","58.050778","5.864014","93.54993"
"Melipona_subnitida","12","122.166667","98.967243","28.569382","763.991097"
"Eucera_lepida","14","26","66.076878","17.659788","654.849512"
"Triepeolus_melanarius","7","125","122.413235","46.267854","1309.699024"
"Anthophora_albata","37","32.702703","78.603034","12.922259","247.780896"
"Melissodes_stearnsi","30","80.2","107.380856","19.604972","305.596439"
"Partamona_orizabaensis","64","124.5625","74.708508","9.338563","143.248331"
"Anthophora_petrophila","73","35.821918","82.842612","9.695994","125.587578"
"Centris_zacateca","28","24.178571","52.255819","9.875422","327.424756"
"Lestrimelitta_danuncia","8","181.625","93.333408","32.998343","1145.986646"
"Centris_mexicana","41","33.707317","64.401958","10.057896","223.60715"
"Martinapis_luteicornis","34","20.088235","59.658304","10.231315","269.643917"
"Centris_hoffmanseggiae","35","71.371429","109.955629","18.585894","261.939805"
"Habropoda_cineraria","62","68.693548","102.078656","12.964002","147.869245"
"Anthophora_abroniae","19","87.105263","117.400026","26.933413","482.520693"
"Epicharis_elegans","42","92.285714","74.582508","11.508331","218.283171"
"Melissodes_tristis","179","31.675978","72.788643","5.440479","51.21728"
"Centris_lanosa","44","67.363636","103.203815","15.558561","208.361208"
"Melissodes_montanus","67","41.925373","74.216986","9.067048","136.834226"
"Melissodes_gilensis","48","45.208333","82.758803","11.945204","190.997774"
"Svastra_cressonii","28","69.642857","109.054256","20.609317","327.424756"
"Paratetrapedia_calcarata","43","130.55814","66.01057","10.066518","213.206818"
"Triepeolus_penicilliferus","24","62.625","101.093935","20.635713","381.995549"
"Melissodes_trifasciatus","5","192.8","64.704714","28.936828","1833.578633"
"Centris_tricolor","30","98.6","77.851583","14.213689","305.596439"
"Eucera_edwardsii","59","62.135593","99.150088","12.908242","155.38802"
"Xylocopa_pulchra","1","133",NA,NA,"9167.893166"
"Centris_pallida","51","62.843137","102.465286","14.34801","179.762611"
"Trigona_corvina","78","141.974359","65.385565","7.403457","117.537092"
"Anthophora_maculifrons","36","50.194444","93.32059","15.553432","254.663699"
"Ceratina_cockerelli","44","130.181818","116.437082","17.553551","208.361208"
"Anthophora_flavocincta","24","88","110.102324","22.474543","381.995549"
"Anthophora_porterae","66","56.712121","99.584022","12.257946","138.907472"
"Diadasia_sphaeralcearum","37","40.108108","86.213489","14.17341","247.780896"
"Melissodes_confusus","65","40.046154","73.267581","9.087725","141.04451"
"Scaptotrigona_hellwegeri","39","72.410256","69.101648","11.065119","235.074184"
"Centris_atripes","99","33.20202","67.064541","6.74024","92.604981"
"Melissodes_coreopsis","122","31.278689","71.039654","6.431628","75.146665"
"Partamona_bilineata","85","106.717647","63.842741","6.924718","107.857567"
"Plebeia_pulchra","29","127.586207","55.012023","10.215476","316.134247"
"Melissodes_tepidus","59","82.627119","110.90737","14.43891","155.38802"
"Melissodes_robustior","28","100.071429","117.771571","22.256735","327.424756"
"Ancyloscelis_apiformis","77","115.857143","88.136813","10.044122","119.063548"
"Melissodes_bimatris","52","42.442308","85.215854","11.817313","176.305638"
"Melissodes_moorei","7","140.428571","109.46515","41.373938","1309.699024"
"Anthophorula_nitens","9","150","124.546176","41.515392","1018.654796"
"Melissodes_limbus","51","25.058824","59.261256","8.298236","179.762611"
"Centris_transversa","28","68.071429","70.35462","13.295773","327.424756"
"Anthophora_walshii","45","40.711111","85.094232","12.685099","203.730959"
"Melissodes_grindeliae","35","58.2","99.927856","16.890891","261.939805"
"Melissodes_subagilis","71","47.873239","94.160794","11.17483","129.125256"
"Anthophorula_albicans","14","105.714286","115.927981","30.983056","654.849512"
"Anthophora_phenax","27","71.407407","110.864872","21.335955","339.551599"
"Diadasia_nigrifrons","29","47.62069","84.867718","15.75954","316.134247"
"Exomalopsis_solani","100","23.57","59.140691","5.914069","91.678932"
"Melissodes_intortus","11","12","7.389181","2.227922","833.444833"
"Melissodes_comptoides","134","79.970149","107.176191","9.258613","68.417113"
"Melissodes_thelypodii","79","65.886076","92.892271","10.451197","116.049281"
"Melipona_colimana","2","97","72.124892","51","4583.946583"
"Diadasia_lutzi","72","51.555556","96.293549","11.348304","127.33185"
"Diadasia_afflicta","44","36.454545","73.167999","11.030491","208.361208"
"Diadasia_consociata","17","128.588235","123.060482","29.846551","539.287833"
"Anthophorula_consobrina","13","29.230769","68.206981","18.917213","705.222551"
"Plebeia_frontalis","72","118.138889","75.940916","8.949723","127.33185"
"Plebeia_moureana","15","121.133333","61.869525","15.974643","611.192878"
"Diadasia_tropicalis","25","81.96","89.94048","17.988096","366.715727"
"Centris_varia","128","109.65625","74.348132","6.571509","71.624165"
"Anthophora_timberlakei","14","79.5","115.537373","30.878662","654.849512"
"Ceratina_acantha","88","72.965909","100.570036","10.720802","104.180604"
"Melissodes_pallidisignatus","71","78.140845","111.720352","13.258766","129.125256"
"Anthophora_squammulosa","53","66.509434","81.832527","11.240562","172.979116"
"Melissodes_wheeleri","45","49.955556","89.363903","13.321584","203.730959"
"Svastra_sabinensis","64","38.65625","82.531998","10.3165","143.248331"
"Melissodes_boltoniae","31","63.645161","96.286568","17.293578","295.738489"
"Exomalopsis_analis","81","120.382716","82.225235","9.136137","113.183866"
"Svastra_duplocincta","31","63.806452","105.031557","18.864225","295.738489"
"Anthophorula_texana","15","93.866667","118.076166","30.487135","611.192878"
"Exomalopsis_similis","57","100.157895","91.234547","12.084311","160.840231"
"Melissodes_verbesinarum","74","33.027027","77.911782","9.057061","123.890448"
"Melitoma_taurea","105","66.6","98.093225","9.572919","87.313268"
"Anthophorula_compactula","75","33.68","77.12681","8.905837","122.238576"
"Centris_agameta","11","31","18.547237","5.592202","833.444833"
"Melissodes_humilior","16","37.3125","85.015072","21.253768","572.993323"
"Melissodes_micheneri","5","114","128.81576","57.608159","1833.578633"
"Melissodes_menuachus","58","49.517241","94.689195","12.4333","158.067124"
"Anthophora_columbariae","14","28.571429","65.698278","17.558603","654.849512"
"Exomalopsis_snowi","26","68.692308","95.406402","18.710735","352.611276"
"Diadasia_knabiana","2","255","0","0","4583.946583"
"Melipona_grandis","54","133","62.023428","8.440319","169.775799"
"Melitoma_marginella","46","114.869565","88.110942","12.99125","199.302025"
"Euglossa_townsendi","44","140.363636","76.805732","11.5789","208.361208"
"Xylocopa_gualanensis","37","94.216216","86.50759","14.22176","247.780896"
"Melissodes_utahensis","20","16.75","56.118179","12.548406","458.394658"
"Epicharis_analis","14","138.928571","71.015128","18.979591","654.849512"
"Eucera_interrupta","36","54.555556","82.526686","13.754448","254.663699"
"Anthophora_estebana","20","55.45","102.398332","22.896963","458.394658"
"Melissodes_glenwoodensis","31","62.387097","105.897018","19.019666","295.738489"
"Svastra_machaerantherae","46","22.73913","62.321188","9.188758","199.302025"
"Neolarra_vigilans","27","51.62963","98.89744","19.032821","339.551599"
"Ceratina_pacifica","60","28.966667","69.204185","8.934222","152.798219"
"Melipona_costaricensis","15","139","59.246459","15.29737","611.192878"
"Ericrocis_pintada","34","36.117647","70.354412","12.065682","269.643917"
"Eucera_vulpes","8","90.5","102.437437","36.217103","1145.986646"
"Centris_decolorata","46","198.652174","84.428331","12.448278","199.302025"
"Anthophora_rhodothorax","14","86.142857","111.047361","29.678656","654.849512"
"Neolarra_californica","37","48.459459","92.406588","15.191549","247.780896"
"Melissodes_dagosus","29","39.655172","87.762779","16.297139","316.134247"
"Centris_trigonoides","76","134.763158","87.269066","10.010448","120.630173"
"Eucera_actuosa","45","32.466667","70.971057","10.579741","203.730959"
"Melissodes_opuntiellus","19","36.315789","77.539275","17.78873","482.520693"
"Melipona_solani","13","153.230769","49.766377","13.80271","705.222551"
"Anthophorula_euphorbiae","14","7.214286","4.263956","1.13959","654.849512"
"Mesocheira_bicolor","65","119.753846","87.157191","10.810519","141.04451"
"Anthophorula_albata","21","53.666667","100.191982","21.863683","436.566341"
"Melissodes_snowii","9","3.888889","1.763834","0.587945","1018.654796"
"Anthophora_mortuaria","21","66.809524","108.068321","23.582441","436.566341"
"Xylocopa_muscaria","56","138.589286","81.954483","10.951628","163.712378"
"Gaesischia_exul","23","113.695652","99.757176","20.800809","398.604051"
"Epicharis_maculata","27","103.592593","46.588426","8.965947","339.551599"
"Holcopasites_minimus","8","40.125","87.517243","30.942018","1145.986646"
"Nomada_bella","27","67.703704","102.153284","19.659409","339.551599"
"Eufriesea_mexicana","32","104.21875","69.460936","12.279075","286.496661"
"Exomalopsis_solidaginis","39","7.871795","14.947592","2.39353","235.074184"
"Eucera_lutziana","6","89.5","128.258723","52.361404","1527.982194"
"Nomada_australis","47","90","109.117806","15.916468","195.061557"
"Epeolus_ilicis","14","102.214286","103.021416","27.533632","654.849512"
"Melipona_panamica","8","173.125","62.924984","22.247341","1145.986646"
"Eucera_kullenbergi","2","150.5","147.785317","104.5","4583.946583"
"Tetragonula_sirindhornae","4","147.75","50.723926","25.361963","2291.973292"
"Oreopasites_vanduzeei","24","54.916667","92.077905","18.795324","381.995549"
"Melissodes_vernalis","14","60.642857","105.563402","28.213006","654.849512"
"Anthophora_peritomae","33","28.030303","72.950962","12.699132","277.814944"
"Neolarra_verbesinae","12","26.166667","72.243066","20.854777","763.991097"
"Centris_fuscata","49","127.714286","84.875399","12.125057","187.099861"
"Diadasia_vallicola","42","52.880952","99.266628","15.317173","218.283171"
"Melissodes_fimbriatus","16","30.6875","60.937912","15.234478","572.993323"
"Diadasia_laticauda","12","59","91.890251","26.526431","763.991097"
"Melitoma_segmentaria","85","143.105882","96.973121","10.518212","107.857567"
"Ceratina_nanula","123","54.617886","92.211581","8.314438","74.535717"
"Exomalopsis_byersi","18","55.277778","66.428029","15.657237","509.327398"
"Thygater_micheneri","5","74.2","41.227418","18.437462","1833.578633"
"Epeolus_canadensis","24","70.958333","108.648808","22.177845","381.995549"
"Deltoptila_aurulentocaudata","11","104.727273","71.783133","21.643429","833.444833"
"Brachynomada_margaretae","4","68.75","124.199772","62.099886","2291.973292"
"Trigona_albipennis","41","108.243902","70.432159","10.999655","223.60715"
"Anthophorula_completa","39","27.102564","66.801274","10.696765","235.074184"
"Exomalopsis_mellipes","61","102.081967","89.248771","11.427134","150.293331"
"Anthophora_fulvicauda","15","111.133333","123.478666","31.882054","611.192878"
"Caenonomada_bruneri","22","97.272727","64.855283","13.827193","416.722417"
"Euglossa_atroveneta","10","125.1","66.602386","21.061524","916.789317"
"Trigona_fuscipennis","91","146.054945","68.716545","7.203451","100.746079"
"Euglossa_obtusa","6","182.166667","84.362116","34.44069","1527.982194"
"Eufriesea_rugosa","18","114.666667","75.963614","17.904796","509.327398"
"Eucera_aragalli","3","5.333333","4.041452","2.333333","3055.964389"
"Melissodes_coloradensis","19","59.789474","103.775173","23.807657","482.520693"
"Melissodes_sphaeralceae","18","12.777778","10.60275","2.499092","509.327398"
"Eucera_fulvitarsis","40","37.575","83.445633","13.193913","229.197329"
"Melissodes_hymenoxidis","14","42.642857","90.185797","24.103168","654.849512"
"Anthophorula_exilis","5","106","136.040435","60.839132","1833.578633"
"Eucera_primiveris","30","46.133333","95.054878","17.354567","305.596439"
"Anthophora_striata","12","135.166667","125.456862","36.216277","763.991097"
"Oreopasites_barbarae","3","87","145.492268","84","3055.964389"
"Triopasites_penniger","22","40.590909","87.34805","18.622667","416.722417"
"Townsendiella_pulchra","22","50.863636","98.540442","21.008893","416.722417"
"Centris_cockerelli","56","60.928571","102.409669","13.685068","163.712378"
"Xylocopa_guatemalensis","31","74.709677","71.623643","12.863986","295.738489"
"Epeolus_attenboroughi","2","5","2.828427","2","4583.946583"
"Eufriesea_concava","26","166.615385","65.746225","12.893896","352.611276"
"Anthophorula_sidae","8","37","88.103835","31.14941","1145.986646"
