"species","n_alt","mean_alt","sd_alt","se_alt","within_sp_var_alt"
"Melissodes_dagosus","108","1437.759259","451.244693","43.421041","2419.115854"
"Centris_trigonoides","153","463.143791","569.057709","46.005589","1707.611191"
"Eucera_actuosa","125","879.68","677.2097","60.571477","2090.116098"
"Melissodes_opuntiellus","34","738.529412","582.432633","99.886373","7684.250361"
"Melipona_solani","34","610.735294","548.648991","94.092526","7684.250361"
"Anthophorula_euphorbiae","30","725.366667","444.688615","81.188662","8708.817075"
"Mesocheira_bicolor","104","712.682692","681.981839","66.873821","2512.158772"
"Anthophorula_albata","32","1085.4375","506.267425","89.496282","8164.516008"
"Melissodes_snowii","25","1352.92","480.194225","96.038845","10450.58049"
"Anthophora_mortuaria","44","450.863636","566.625244","85.42197","5937.829824"
"Xylocopa_muscaria","97","393.061856","487.62483","49.5108","2693.44858"
"Gaesischia_exul","58","527.931034","661.129333","86.810534","4504.560556"
"Epicharis_maculata","47","641","509.765035","74.356872","5558.81941"
"Holcopasites_minimus","14","1120.5","330.044694","88.208155","18661.750876"
"Nomada_bella","66","237.590909","352.773712","43.423442","3958.553216"
"Eufriesea_mexicana","65","648.553846","628.122874","77.909054","4019.454035"
"Exomalopsis_solidaginis","100","1350.39","453.711783","45.371178","2612.645123"
"Eucera_lutziana","18","1448.222222","260.122947","61.311567","14514.695126"
"Nomada_australis","98","138.632653","157.484569","15.908344","2665.964411"
"Epeolus_ilicis","16","69.125","67.980267","16.995067","16329.032016"
"Melipona_panamica","19","250.210526","384.318239","88.168651","13750.763803"
"Eucera_kullenbergi","2","182.5","168.998521","119.5","130632.25613"
"Tetragonula_sirindhornae","8","137.875","156.382715","55.289639","32658.064032"
"Oreopasites_vanduzeei","55","923.527273","616.552417","83.135911","4750.263859"
"Melissodes_vernalis","29","1118.482759","711.12394","132.052401","9009.121112"
"Anthophora_peritomae","102","1771.823529","451.039688","44.659584","2561.416787"
"Neolarra_verbesinae","17","1327.176471","465.413826","112.879433","15368.500721"
"Centris_fuscata","78","474.423077","432.466995","48.967245","3349.545029"
"Diadasia_vallicola","124","789.58871","429.30102","38.55237","2106.971873"
"Melissodes_fimbriatus","21","610.904762","524.441885","114.442602","12441.16725"
"Diadasia_laticauda","50","681.18","649.080313","91.793818","5225.290245"
"Melitoma_segmentaria","129","505.248062","712.976289","62.774062","2025.306297"
"Ceratina_nanula","407","1287.739558","775.872889","38.458591","641.927549"
"Exomalopsis_byersi","34","1089","562.550469","96.47661","7684.250361"
"Thygater_micheneri","5","1776.4","397.378032","177.712858","52252.902452"
"Epeolus_canadensis","41","886.487805","897.443762","140.157168","6372.305177"
"Deltoptila_aurulentocaudata","21","1967.904762","381.813162","83.318463","12441.16725"
"Brachynomada_margaretae","8","1384.125","462.701211","163.589582","32658.064032"
"Trigona_albipennis","51","308.568627","312.389069","43.743219","5122.833574"
"Anthophorula_completa","73","1036.630137","617.952792","72.325904","3578.965921"
"Exomalopsis_mellipes","128","908.71875","790.32213","69.855267","2041.129002"
