"family","tribe","tips","sociality_binary","sociality_three_states","nest_three_states","nest_binary"
"Andrenidae","Andreninini","Andrena_similis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ovatula","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_lathyri","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_aberrans","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_veterana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_mucorea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_blanda","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_andrenoides","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_miserabilis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_barbilabris","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_argentata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ventralis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_sericata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_fragilis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_integra","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_persimulata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_platyparia","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_bradleyi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_longifovea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_plumiscopa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nubica","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_brevipalpis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_arabis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_scurra","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_sladeni","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_walleyi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_bisalicis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_lauta","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_w-scripta","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_candida","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_cristata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_knuthiana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_medionitens","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_chapmanae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_asteris","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_placata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_gardineri","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_rudbeckiae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_helianthi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_toluca","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_camellia","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_hunanensis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_striata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_trevoris","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_mackieae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_atypica","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_bairacumensis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ispida","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_longiceps","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_limbata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_aruana","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_corax","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_guttata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_agilissima","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_argemonis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_crataegi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_prunorum","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_tibialis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_bimaculata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pilipes","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_suerinensis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_hispania","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_aegypticola","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_fuscosa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_scita","solitary","solitary","ground","ground"
