Family,Subfamily,Tribe,Species name and author,tips,"broad_sociality (solitary, social, kleptoparasite, social parasite)","fine_sociality (communal, primitively eusocial, eusocial)",sociality_notes,sociality_ref,"nesting_resources (resins, floral oils, leaf materials, etc)",nesting_resources_ref,nesting_place,reference,habitat,reference
Colletidae,Colletinae,Colletini,,Xanthocotelles_sicheli,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Colletinae,Colletini,,Xanthocotelles_atacama,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Callomelitinae,Callomelitini,,Callomelitta_antipodes,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,rotting wood,Michener Bees of the World p. 133,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_variegatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_anthracinus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_flavifrons,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_connectens,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_dimidiatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_mutatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_kuakea,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_takumiae,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_kona,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_makaha,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_mimicus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_kauaiensis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_paradoxicus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_anomalus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_setosifrons,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_hula,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_kokeensis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_pele,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_coniceps,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_angustulus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_haleakalae,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_specularis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_dumetorum,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_mana,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_crabronoides,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_ulaula,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_filicum,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_kukui,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_muranus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_pubescens,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_akoko,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_fuscipennis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_andrenoides,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_inquilina,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_difficilis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_chlorostictus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_facilis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_hirsutulus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_laetus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_noomen,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_volcanicus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_nivicola,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_hilaris,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_hostilis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_sphecodoides,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_volatilis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_unicus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_psammobius,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_solaris,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_rugulosus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_longiceps,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_assimulans,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_ombrias,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_flavipes,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_mamo,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_pectoralis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_globulus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_insularum,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_ikedai,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_hurdi,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_preposterosus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_dilatatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_pfankuchi,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_rinki,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_tyrolensis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_affinis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_episcopalis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_modestus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_illinoisensis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_ornatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_confusus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_gibbus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_incongruus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_strenuus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_signatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_basalis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_nunenmacheri,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_punctatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_alpinus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_hyalinatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_sulphuripes,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_pilosulus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_wootoni,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_duckei,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_calvus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_cornutus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_leptocephalus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_nigritus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_gracilicornis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_paulus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_mesillae,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_saniculae,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_angustatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_difformis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_nivalis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_moricei,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_cardioscapus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_verticalis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_communis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_annulatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_brevicornis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_glacialis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_imparilis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_gredleri,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_kahri,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_clypearis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_lineolatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_coloradensis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_incomitatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_punctulatissimus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_pictipes,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_styriacus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_sinuatus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_burnsi,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_disjunctus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_violaceus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_elegans,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_huselus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_alcyoneus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_cyanophilus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_cyanurus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_ruficeps,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_graenicheri,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_constrictiformis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_proximus,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
Colletidae,Hylaeinae,Hylaeini,,Hylaeus_lateralis,solitary,,"""...some nest in aggregations.""",Michener Bees of the World p. 133,,,"""soil, pithy stems or holes in wood, or rotting logs or stumps""",Michener 1974,,
